Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
72,0.0421,0.6574,0.9859,0.8616,0.9988,0.9282,0.9847,0.8444,0.9859,0.865,0.9871,0.8866,0.9988,0.914,0.9988,0.9137
73,0.0495,0.6046,0.982,0.8645,0.9984,0.9309,0.9796,0.8511,0.9821,0.8671,0.9846,0.8837,0.9983,0.9163,0.9983,0.916
74,0.0477,0.6507,0.9829,0.8645,0.9985,0.9314,0.9811,0.8581,0.9829,0.8657,0.9848,0.8735,0.9986,0.9158,0.9986,0.9157
75,0.0434,0.6824,0.9845,0.8674,0.9988,0.9269,0.9829,0.8471,0.9845,0.8712,0.9861,0.8968,0.9988,0.911,0.9988,0.9106
76,0.0476,0.665,0.9838,0.8664,0.9984,0.9296,0.9824,0.8433,0.9838,0.8708,0.9852,0.9001,0.9983,0.914,0.9983,0.9135
77,0.046,0.6654,0.9828,0.8645,0.9986,0.9313,0.9812,0.8507,0.9828,0.8671,0.9844,0.8841,0.9986,0.9186,0.9986,0.9181
78,0.0461,0.6774,0.9832,0.8621,0.9986,0.9256,0.9812,0.8465,0.9833,0.8651,0.9854,0.8846,0.9986,0.9078,0.9986,0.9072
79,0.0525,0.6915,0.9815,0.8659,0.9982,0.9299,0.9794,0.8561,0.9815,0.8678,0.9836,0.8798,0.9981,0.9164,0.9981,0.9159
80,0.053,0.6353,0.9817,0.8625,0.9981,0.9284,0.9795,0.8466,0.9817,0.8657,0.9839,0.8856,0.998,0.9143,0.998,0.9143
81,0.0325,0.659,0.9887,0.8686,0.9993,0.933,0.9877,0.8506,0.9887,0.8719,0.9897,0.8943,0.9993,0.9185,0.9993,0.9182
82,0.0197,0.6941,0.9934,0.8701,0.9998,0.9352,0.9929,0.851,0.9934,0.8735,0.9938,0.8972,0.9998,0.9214,0.9998,0.9207
83,0.0165,0.7323,0.9952,0.8684,0.9999,0.9361,0.9941,0.8592,0.9952,0.8701,0.9964,0.8812,0.9999,0.925,0.9999,0.9243
84,0.0146,0.6959,0.9958,0.8703,0.9999,0.9362,0.9955,0.8514,0.9958,0.8737,0.9961,0.8972,0.9999,0.923,0.9999,0.9217
85,0.0132,0.7035,0.996,0.8732,0.9999,0.9373,0.9952,0.8632,0.996,0.875,0.9968,0.8871,0.9999,0.9243,0.9999,0.9234
86,0.0143,0.7088,0.9953,0.8735,0.9999,0.9364,0.9949,0.8562,0.9953,0.8765,0.9957,0.8977,0.9999,0.9227,0.9999,0.9213
87,0.0144,0.7338,0.995,0.8698,0.9999,0.9352,0.9938,0.8532,0.9951,0.8728,0.9963,0.8934,0.9999,0.921,0.9999,0.9199
88,0.0143,0.7427,0.9952,0.8732,0.9999,0.935,0.9948,0.8598,0.9952,0.8756,0.9956,0.8919,0.9999,0.9216,0.9999,0.9206
89,0.0133,0.7491,0.9957,0.8747,0.9999,0.9359,0.9949,0.8616,0.9957,0.8769,0.9966,0.8929,0.9999,0.9246,0.9999,0.9237
90,0.0148,0.7544,0.9958,0.8725,0.9998,0.9339,0.9953,0.8533,0.9958,0.8759,0.9964,0.8997,0.9998,0.9211,0.9998,0.9198
91,0.0126,0.7626,0.9962,0.8754,0.9999,0.936,0.9952,0.8594,0.9962,0.8781,0.9972,0.8977,0.9999,0.923,0.9999,0.9213
92,0.0132,0.7957,0.9959,0.8764,0.9999,0.9341,0.9955,0.8577,0.9959,0.8795,0.9963,0.9026,0.9999,0.9199,0.9999,0.9176
93,0.0132,0.7589,0.9956,0.8708,0.9999,0.9327,0.995,0.8516,0.9956,0.8743,0.9963,0.8982,0.9999,0.9192,0.9999,0.9176
94,0.0166,0.7756,0.995,0.8737,0.9998,0.9341,0.9949,0.8566,0.995,0.8767,0.995,0.8977,0.9998,0.9197,0.9998,0.9177
95,0.0138,0.7863,0.9955,0.8672,0.9998,0.934,0.9948,0.8538,0.9955,0.8696,0.9963,0.8861,0.9998,0.9193,0.9998,0.9169
96,0.0137,0.7726,0.9957,0.8708,0.9999,0.9365,0.9955,0.8571,0.9957,0.8732,0.996,0.89,0.9999,0.9241,0.9999,0.9224
97,0.0162,0.7671,0.9947,0.8701,0.9998,0.9336,0.9941,0.8514,0.9947,0.8735,0.9954,0.8968,0.9998,0.9196,0.9998,0.9181
98,0.0156,0.7603,0.9949,0.8718,0.9999,0.9346,0.9946,0.8538,0.9949,0.875,0.9952,0.8972,0.9999,0.9207,0.9999,0.9189
99,0.0154,0.7873,0.9954,0.8727,0.9998,0.9363,0.9948,0.8658,0.9954,0.8739,0.9959,0.8822,0.9998,0.9221,0.9998,0.9205
100,0.0171,0.7404,0.9945,0.8742,0.9998,0.9357,0.994,0.8607,0.9945,0.8765,0.9949,0.8929,0.9998,0.9202,0.9998,0.9185
101,0.0171,0.7865,0.994,0.8732,0.9998,0.9346,0.9936,0.8513,0.994,0.8771,0.9944,0.9045,0.9998,0.9211,0.9998,0.9189
102,0.0178,0.751,0.9945,0.8701,0.9998,0.9362,0.9941,0.8533,0.9945,0.8731,0.9949,0.8938,0.9998,0.9229,0.9998,0.9211
103,0.0161,0.7672,0.9952,0.8703,0.9998,0.9335,0.9947,0.8492,0.9952,0.8741,0.9956,0.9006,0.9998,0.9211,0.9998,0.92
104,0.0163,0.7474,0.9949,0.8698,0.9998,0.9357,0.9945,0.8596,0.9949,0.8717,0.9953,0.8841,0.9998,0.9221,0.9998,0.9205
105,0.0158,0.7826,0.9951,0.8749,0.9998,0.9354,0.9943,0.856,0.9951,0.8782,0.9959,0.9016,0.9998,0.9216,0.9998,0.9193
106,0.016,0.7328,0.9947,0.8783,0.9998,0.9363,0.9943,0.8673,0.9947,0.8801,0.9952,0.8934,0.9998,0.9216,0.9998,0.9204
107,0.0175,0.7839,0.9942,0.8713,0.9998,0.9361,0.9936,0.8596,0.9942,0.8734,0.9948,0.8875,0.9998,0.9205,0.9998,0.9173
108,0.0168,0.786,0.9943,0.8735,0.9998,0.9336,0.9938,0.8579,0.9943,0.8762,0.9947,0.8953,0.9998,0.9182,0.9998,0.9165
109,0.0173,0.8019,0.9943,0.8773,0.9998,0.9342,0.9942,0.8646,0.9943,0.8795,0.9944,0.8948,0.9998,0.9197,0.9998,0.918
110,0.0181,0.7843,0.9938,0.8754,0.9998,0.9358,0.9932,0.8693,0.9938,0.8764,0.9945,0.8837,0.9997,0.9215,0.9997,0.9193
111,0.0173,0.7986,0.9944,0.8747,0.9998,0.9346,0.994,0.8622,0.9944,0.8768,0.9947,0.8919,0.9998,0.9209,0.9998,0.9186
112,0.0171,0.7719,0.9946,0.8747,0.9998,0.9346,0.9938,0.8592,0.9946,0.8773,0.9954,0.8963,0.9998,0.9212,0.9998,0.9196
113,0.0144,0.7923,0.9954,0.8722,0.9999,0.9339,0.9954,0.8504,0.9954,0.8761,0.9954,0.9035,0.9999,0.9205,0.9999,0.9182
114,0.0162,0.7875,0.9942,0.8718,0.9998,0.9347,0.9938,0.8604,0.9942,0.8738,0.9946,0.8875,0.9998,0.924,0.9998,0.9233
115,0.0176,0.7853,0.9944,0.8657,0.9998,0.9337,0.994,0.8498,0.9944,0.8687,0.9949,0.8885,0.9998,0.9211,0.9998,0.9192
116,0.016,0.7733,0.9949,0.8759,0.9998,0.9368,0.9943,0.8653,0.9949,0.8777,0.9956,0.8905,0.9998,0.9233,0.9998,0.9205
117,0.0129,0.8223,0.9954,0.8739,0.9999,0.9359,0.9952,0.8634,0.9954,0.8758,0.9956,0.8885,0.9999,0.9223,0.9999,0.9195
118,0.0143,0.8044,0.9953,0.8766,0.9999,0.9365,0.9951,0.8614,0.9953,0.8792,0.9955,0.8977,0.9999,0.9247,0.9999,0.9219
119,0.0162,0.7627,0.9949,0.8737,0.9998,0.937,0.9943,0.8616,0.9949,0.8758,0.9956,0.8905,0.9998,0.9267,0.9998,0.9259
120,0.0154,0.8009,0.995,0.8752,0.9998,0.9358,0.9942,0.861,0.995,0.8776,0.9958,0.8948,0.9998,0.9216,0.9998,0.9191
121,0.0115,0.7853,0.9957,0.8739,0.9999,0.9369,0.9955,0.8541,0.9957,0.8774,0.9959,0.9021,0.9999,0.9248,0.9999,0.9225
122,0.0087,0.8185,0.9974,0.8766,0.9999,0.9391,0.9969,0.8672,0.9974,0.8782,0.9979,0.8895,0.9999,0.928,0.9999,0.9252
123,0.006,0.8282,0.9983,0.8788,1.0,0.9395,0.9984,0.8643,0.9983,0.8812,0.9981,0.8987,1.0,0.9282,1.0,0.9253
124,0.0073,0.8314,0.9979,0.8761,1.0,0.9396,0.9976,0.865,0.9979,0.878,0.9983,0.8914,1.0,0.928,1.0,0.9247
125,0.0061,0.844,0.9982,0.8749,1.0,0.9395,0.998,0.8623,0.9982,0.8771,0.9984,0.8924,1.0,0.9279,1.0,0.9246
126,0.006,0.8437,0.9979,0.8773,1.0,0.9388,0.9976,0.865,0.9979,0.8794,0.9981,0.8943,1.0,0.9269,1.0,0.9232
127,0.0052,0.8332,0.9986,0.8761,1.0,0.9392,0.9985,0.863,0.9986,0.8784,0.9987,0.8943,1.0,0.9272,1.0,0.9233
128,0.0059,0.8565,0.9984,0.8807,1.0,0.9387,0.9983,0.8648,0.9984,0.8833,0.9985,0.9026,1.0,0.9274,1.0,0.9238
129,0.0063,0.8256,0.998,0.8771,1.0,0.9386,0.9981,0.8569,0.998,0.8805,0.9979,0.9055,1.0,0.9265,1.0,0.9227
130,0.0055,0.834,0.9983,0.8773,1.0,0.9391,0.9982,0.864,0.9983,0.8796,0.9985,0.8958,1.0,0.9263,1.0,0.9223
131,0.0053,0.8821,0.9989,0.8744,1.0,0.9392,0.9988,0.8608,0.9989,0.8768,0.999,0.8934,1.0,0.928,1.0,0.924
132,0.0053,0.8751,0.9984,0.8759,1.0,0.9391,0.9982,0.8643,0.9984,0.8779,0.9986,0.8919,1.0,0.9289,1.0,0.9253
133,0.0055,0.8661,0.9985,0.8739,1.0,0.9391,0.9984,0.8567,0.9985,0.877,0.9985,0.8982,1.0,0.9286,1.0,0.9251
134,0.0053,0.8767,0.9986,0.8744,1.0,0.9394,0.9988,0.8529,0.9986,0.8782,0.9985,0.905,1.0,0.9293,1.0,0.9252
135,0.006,0.8752,0.9986,0.8732,1.0,0.9376,0.9985,0.8568,0.9986,0.8761,0.9987,0.8963,1.0,0.9252,1.0,0.9208
136,0.0065,0.8447,0.9981,0.8766,1.0,0.9382,0.9978,0.8627,0.9981,0.879,0.9985,0.8958,1.0,0.9256,1.0,0.922
137,0.0063,0.8878,0.9984,0.8754,1.0,0.9375,0.9981,0.8652,0.9984,0.8772,0.9987,0.8895,1.0,0.9253,1.0,0.9213
138,0.0062,0.8682,0.9984,0.8759,1.0,0.9378,0.9982,0.866,0.9984,0.8776,0.9985,0.8895,1.0,0.9239,1.0,0.9196
139,0.0059,0.8892,0.9981,0.8768,1.0,0.9375,0.9976,0.8652,0.9981,0.8788,0.9986,0.8929,1.0,0.9245,1.0,0.9203
140,0.0053,0.8855,0.9986,0.8793,1.0,0.9375,0.9989,0.8608,0.9986,0.8823,0.9983,0.905,1.0,0.9254,1.0,0.9207
141,0.0069,0.8732,0.9979,0.8749,1.0,0.9376,0.9976,0.856,0.9979,0.8782,0.9981,0.9016,1.0,0.9253,1.0,0.9209
142,0.0058,0.9178,0.9984,0.8771,1.0,0.9373,0.9982,0.8605,0.9984,0.8799,0.9985,0.9001,1.0,0.9258,1.0,0.9215
143,0.0052,0.896,0.9986,0.8756,1.0,0.938,0.9985,0.8649,0.9986,0.8775,0.9988,0.8905,1.0,0.9262,1.0,0.9222
144,0.0058,0.8761,0.9983,0.8744,1.0,0.937,0.9978,0.8635,0.9983,0.8763,0.9988,0.8895,1.0,0.9253,1.0,0.9217
145,0.0059,0.8925,0.9981,0.8752,1.0,0.9363,0.9979,0.856,0.9981,0.8785,0.9983,0.9021,1.0,0.9239,1.0,0.9194
146,0.0062,0.898,0.998,0.8756,1.0,0.9361,0.9976,0.8591,0.998,0.8785,0.9985,0.8987,1.0,0.9243,1.0,0.9203
147,0.0074,0.8388,0.9977,0.8783,1.0,0.9381,0.9976,0.8642,0.9977,0.8806,0.9979,0.8977,1.0,0.9264,1.0,0.9232
148,0.008,0.8967,0.9978,0.8756,0.9999,0.9379,0.9973,0.8575,0.9978,0.8788,0.9983,0.9011,0.9999,0.9275,0.9999,0.9232
149,0.0072,0.871,0.9979,0.8747,0.9999,0.9383,0.9981,0.8599,0.9979,0.8772,0.9976,0.8953,0.9999,0.9266,0.9999,0.9226
150,0.007,0.8891,0.9978,0.8749,1.0,0.9359,0.9973,0.8556,0.9978,0.8782,0.9983,0.9021,1.0,0.9243,1.0,0.9203
Epoch,Test Loss,Test Accuracy,Test AUC ROC,Test PR,Test F1,Test Recall,Test Int AP,Test AP
150,0.8172,0.8817,0.9429,0.8622,0.8848,0.9086,0.9356,0.9338
