Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
96,0.1064,0.6056,0.9585,0.8454,0.9929,0.9075,0.9518,0.8311,0.9588,0.8486,0.9659,0.8669,0.9926,0.8728,0.9926,0.8727
97,0.104,0.6381,0.9596,0.8422,0.9932,0.9081,0.9536,0.8399,0.9598,0.8427,0.9661,0.8455,0.993,0.8743,0.993,0.8743
98,0.1069,0.6348,0.9579,0.8433,0.9928,0.9051,0.9511,0.8398,0.9583,0.8441,0.9655,0.8484,0.9925,0.8692,0.9925,0.8692
99,0.1059,0.6396,0.9588,0.847,0.9929,0.9067,0.9518,0.8317,0.9592,0.8505,0.9666,0.8702,0.9926,0.8694,0.9926,0.8693
100,0.1032,0.6198,0.9597,0.8451,0.9933,0.907,0.9539,0.8359,0.9599,0.8473,0.9661,0.8589,0.993,0.8688,0.993,0.8688
101,0.103,0.6396,0.9597,0.8437,0.9933,0.9086,0.9534,0.8384,0.96,0.845,0.9666,0.8517,0.993,0.8745,0.993,0.8745
102,0.1013,0.6417,0.9607,0.845,0.9936,0.9077,0.9554,0.8354,0.961,0.8472,0.9666,0.8594,0.9933,0.8724,0.9933,0.8724
103,0.1001,0.6412,0.9612,0.8492,0.9937,0.9097,0.9554,0.8417,0.9614,0.8509,0.9676,0.8603,0.9933,0.874,0.9933,0.874
104,0.1036,0.6764,0.9598,0.8424,0.9933,0.9087,0.9539,0.8349,0.9601,0.8442,0.9663,0.8536,0.993,0.8738,0.993,0.8737
105,0.1011,0.6354,0.9604,0.8423,0.9936,0.9076,0.9543,0.8407,0.9607,0.8427,0.9672,0.8446,0.9934,0.8716,0.9934,0.8715
106,0.0989,0.6404,0.9622,0.8423,0.9938,0.9083,0.9569,0.8308,0.9624,0.845,0.968,0.8596,0.9936,0.874,0.9936,0.8739
107,0.0962,0.6649,0.9628,0.8426,0.9942,0.9089,0.9567,0.8386,0.9631,0.8436,0.9695,0.8486,0.994,0.8765,0.994,0.8765
108,0.0976,0.6482,0.9628,0.8442,0.994,0.9089,0.9576,0.8391,0.9631,0.8453,0.9686,0.8517,0.9936,0.8747,0.9936,0.8746
109,0.0952,0.6696,0.9633,0.846,0.9942,0.9085,0.9579,0.8353,0.9635,0.8485,0.9691,0.862,0.9939,0.8747,0.9939,0.8746
110,0.0961,0.6702,0.9626,0.8408,0.9942,0.9077,0.957,0.8397,0.9628,0.8411,0.9687,0.8426,0.9941,0.8729,0.9941,0.8728
111,0.0946,0.6788,0.9629,0.8423,0.9944,0.9069,0.9583,0.8333,0.9631,0.8444,0.9679,0.8559,0.9942,0.8722,0.9942,0.8721
112,0.0945,0.6683,0.9634,0.8428,0.9944,0.908,0.9582,0.835,0.9636,0.8447,0.9691,0.8545,0.9942,0.8737,0.9942,0.8735
113,0.0928,0.6926,0.9646,0.8454,0.9946,0.9095,0.9598,0.8392,0.9648,0.8468,0.9698,0.8545,0.9944,0.8755,0.9944,0.8752
114,0.0891,0.6725,0.9653,0.8449,0.995,0.9075,0.961,0.836,0.9654,0.847,0.97,0.8583,0.9948,0.8745,0.9948,0.8743
115,0.0952,0.6955,0.9631,0.8446,0.9943,0.9095,0.9582,0.8451,0.9633,0.8445,0.9684,0.8439,0.9941,0.8764,0.9941,0.8762
116,0.0939,0.6543,0.9637,0.8478,0.9944,0.9096,0.9592,0.8372,0.9639,0.8502,0.9686,0.8636,0.9942,0.8749,0.9942,0.8747
117,0.0918,0.6661,0.9651,0.8421,0.9947,0.9056,0.96,0.8355,0.9653,0.8436,0.9707,0.8519,0.9945,0.8697,0.9945,0.8696
118,0.0939,0.6917,0.964,0.8482,0.9945,0.9098,0.9596,0.8414,0.9641,0.8498,0.9687,0.8583,0.9943,0.8741,0.9943,0.8737
119,0.0913,0.7088,0.9655,0.845,0.9947,0.9096,0.9604,0.8461,0.9657,0.8448,0.9711,0.8435,0.9945,0.8753,0.9945,0.8751
120,0.0886,0.7004,0.9661,0.8444,0.995,0.907,0.9617,0.8314,0.9663,0.8474,0.9709,0.864,0.9949,0.8718,0.9949,0.8716
121,0.0722,0.7096,0.973,0.8471,0.9967,0.9104,0.9682,0.8433,0.9731,0.848,0.978,0.8528,0.9966,0.876,0.9966,0.8757
122,0.0669,0.7164,0.9759,0.8488,0.9972,0.912,0.9719,0.8462,0.976,0.8494,0.98,0.8525,0.9971,0.8781,0.9971,0.8778
123,0.0624,0.7261,0.9767,0.8515,0.9976,0.9121,0.9731,0.8443,0.9768,0.8531,0.9804,0.862,0.9976,0.8784,0.9976,0.878
124,0.0622,0.7345,0.9766,0.8488,0.9976,0.9124,0.9734,0.8413,0.9766,0.8504,0.9799,0.8598,0.9976,0.8789,0.9976,0.8786
125,0.0604,0.7519,0.9775,0.8497,0.9977,0.9119,0.9738,0.8462,0.9776,0.8504,0.9814,0.8547,0.9977,0.8779,0.9977,0.8773
126,0.0608,0.7587,0.9771,0.8479,0.9977,0.9127,0.9742,0.8455,0.9771,0.8485,0.9801,0.8514,0.9976,0.8796,0.9976,0.879
127,0.0587,0.746,0.9775,0.8465,0.9978,0.9124,0.9748,0.8388,0.9776,0.8482,0.9804,0.8578,0.9978,0.8795,0.9978,0.8789
128,0.058,0.7508,0.9783,0.8481,0.9979,0.912,0.9757,0.8442,0.9784,0.849,0.981,0.8539,0.9978,0.8784,0.9978,0.8777
129,0.0614,0.7641,0.9776,0.8466,0.9976,0.913,0.9749,0.8455,0.9776,0.8468,0.9804,0.8481,0.9976,0.881,0.9976,0.8804
130,0.0592,0.7602,0.9781,0.8509,0.9978,0.9121,0.9757,0.8467,0.9782,0.8518,0.9807,0.857,0.9977,0.8789,0.9977,0.8783
