Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
137,0.0055,0.6006,0.9984,0.9047,0.9973,0.8056,0.9981,0.7831,0.999,0.778
138,0.0054,0.61,0.998,0.9073,0.9976,0.8108,0.9977,0.7918,0.9977,0.7884
139,0.0057,0.6174,0.9982,0.9028,0.9992,0.808,0.9984,0.7795,0.9977,0.7747
140,0.0055,0.6139,0.9983,0.9022,0.9986,0.7893,0.9954,0.7753,0.9929,0.7791
141,0.0055,0.5891,0.9985,0.9014,0.9991,0.7996,0.9991,0.7827,0.9991,0.7816
142,0.0058,0.6111,0.9982,0.9017,0.9982,0.7937,0.998,0.7725,0.9978,0.7742
143,0.0053,0.6353,0.9987,0.9049,0.9985,0.7911,0.9983,0.7786,0.9983,0.785
144,0.0065,0.6382,0.9982,0.9049,0.9987,0.7981,0.9989,0.7832,0.9991,0.7841
145,0.0049,0.6067,0.9987,0.9079,0.9992,0.7865,0.999,0.768,0.9989,0.7666
146,0.0055,0.613,0.9983,0.9036,0.9979,0.7955,0.9972,0.7736,0.9965,0.7699
147,0.0057,0.6029,0.9983,0.9036,0.9985,0.7872,0.9963,0.755,0.9946,0.7572
148,0.0051,0.598,0.9987,0.9057,0.9982,0.7999,0.996,0.779,0.9944,0.7764
149,0.0062,0.5881,0.9982,0.9017,0.9978,0.7941,0.9971,0.7681,0.9964,0.7676
150,0.0065,0.5941,0.9983,0.9055,0.9965,0.7958,0.9959,0.7818,0.9956,0.7827
Epoch,Test Loss,Test Accuracy,Test PR,Test F1,Test Recall
150,0.6444,0.9017,0.8242,0.7915,0.7726
