Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
89,0.0386,0.1344,0.9854,0.9527,0.999,0.9916,0.9881,0.9237,0.9873,0.9436,0.9865,0.9643,0.9993,0.9892,0.9993,0.9892
90,0.0384,0.1264,0.9854,0.9568,0.999,0.9919,0.9882,0.9386,0.9873,0.9478,0.9864,0.9573,0.9993,0.9897,0.9993,0.9897
91,0.0384,0.1406,0.9855,0.9532,0.999,0.9915,0.9882,0.9263,0.9874,0.9439,0.9865,0.9622,0.9993,0.9889,0.9993,0.9889
92,0.0382,0.1344,0.9855,0.9551,0.999,0.9917,0.9881,0.9312,0.9873,0.946,0.9866,0.9613,0.9993,0.9895,0.9993,0.9895
93,0.0379,0.1177,0.9856,0.9596,0.9991,0.9925,0.9882,0.9459,0.9874,0.951,0.9866,0.9562,0.9993,0.9905,0.9993,0.9905
94,0.0379,0.1404,0.9856,0.9526,0.9991,0.9918,0.9884,0.9226,0.9874,0.9435,0.9865,0.9653,0.9993,0.9895,0.9993,0.9895
95,0.0378,0.126,0.9856,0.9563,0.9991,0.992,0.9883,0.9342,0.9875,0.9474,0.9867,0.9609,0.9993,0.9898,0.9993,0.9898
96,0.0375,0.1235,0.9856,0.9583,0.9991,0.9922,0.9883,0.941,0.9875,0.9496,0.9867,0.9582,0.9993,0.99,0.9993,0.99
97,0.0374,0.1308,0.9858,0.9554,0.9991,0.992,0.9884,0.9296,0.9876,0.9466,0.9868,0.9641,0.9993,0.9898,0.9993,0.9898
98,0.0371,0.1229,0.9859,0.9578,0.9991,0.9925,0.9885,0.9371,0.9878,0.9492,0.987,0.9616,0.9993,0.9904,0.9993,0.9904
99,0.0376,0.1364,0.9856,0.9541,0.9991,0.9919,0.9883,0.9261,0.9874,0.9451,0.9866,0.9648,0.9993,0.9897,0.9993,0.9897
100,0.0374,0.1282,0.9859,0.956,0.9991,0.9921,0.9884,0.9318,0.9877,0.9472,0.987,0.9631,0.9993,0.99,0.9993,0.9899
Epoch,Test Loss,Test Accuracy,Test AUC ROC,Test PR,Test F1,Test Recall,Test Int AP,Test AP
100,0.1177,0.9596,0.9925,0.9459,0.951,0.9562,0.9905,0.9905
